,LOB,CategoryRetail,subcategory,category,division,WhsCode,SaleWithoutTax,SaleTarget,TargetAchv,Targetshortfall,TMSalesMix,LMSalesMix,SaleWithoutTax_l,momsale,SaleWithoutTax_p,yoysale,tgt_margin,margin,lm_margin,ly_margin,mom_margin,asp_tm,asp_lm,asp_mom,nm%achv,yoynm%,RGM,RGMTarget,rgmachv,RGM_l,rgmmom,RGM_p,rgmyoy,FinalValueDamaged,TGTDamage,damageachv%,damage_to_sale,FinalValueDamaged_l,damage_mom,FinalValueDamaged_p,damage_yoy,FinalValueFreshDump,TGTFreshDump,freshdumpachv%,freshdump_to_sale,FinalValueFreshDump_l,freshdump_mom,FinalValueFreshDump_p,freshdump_yoy,FinalValueShrinkage,TGTShrinkage,shrinkageachv%,shrinkage_to_sale,FinalValueShrinkage_l,shrinkage_mom
0,GM HARDLINES,Toys,Dolls & action figures,Action figures,GM Hardlines,STR01,280.45,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,35.91,0.0,0.0,0.0,314.1,0.0,0.0,0.0,0.0,100.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,GM HARDLINES,Toys,Infant products,Action figures,GM Hardlines,STR01,374.38,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,10.69,0.0,0.0,0.0,419.3,0.0,0.0,0.0,0.0,40.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,GM HARDLINES,Toys,Motion toys,Action figures,GM Hardlines,STR01,79.46,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,14.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Food,FMCG NON FOOD,Cleaning,All purpose cleaners,FMCG Non Food,STR01,6936.81,0.0,0.0,0.0,0.83,0.5,1578.99,339.32,8476.24,-18.16,0.0,10.05,12.23,10.64,-2.18,141.13,77.63,0.82,0.0,-0.59,697.25,0.0,0.0,193.15,260.99,901.71,-22.67,92.16,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Food,FMCG Non Food,Cleaning,All purpose cleaners,FMCG Non Food,STR01,638.13,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,-2.49,0.0,0.0,0.0,107.57,0.0,0.0,0.0,0.0,-15.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,GM HARDLINES,Toys,Dolls & action figures,Art & crafts,GM Hardlines,STR01,489.31,0.0,0.0,0.0,0.06,0.06,177.68,175.39,0.0,0.0,0.0,24.27,29.65,0.0,-5.38,274.01,199.0,0.38,0.0,0.0,118.75,0.0,0.0,52.68,125.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,GM HARDLINES,Toys,Educational toys,Art & crafts,GM Hardlines,STR01,355.37,0.0,0.0,0.0,0.04,0.0,0.0,0.0,411.91,-13.73,0.0,27.26,0.0,19.04,0.0,199.0,0.0,0.0,0.0,8.22,96.87,0.0,0.0,0.0,0.0,78.43,23.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,GM HARDLINES,Toys,Infant products,Art & crafts,GM Hardlines,STR01,43.75,2038.27,2.15,-1994.52,0.01,0.0,0.0,0.0,141.08,-68.99,21.14,-16.57,0.0,27.7,0.0,49.0,0.0,0.0,-78.41,-44.27,-7.25,430.79,-1.68,0.0,0.0,39.08,-118.55,0.0,9.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.13,0.0,0.0,0.0,0.0
8,GM HARDLINES,Toys,Sports toys,Art & crafts,GM Hardlines,STR01,767.87,1595.17,48.14,-827.3,0.09,0.13,426.53,80.03,486.61,57.8,18.97,21.29,31.54,24.37,-10.25,86.0,249.0,-0.65,112.2,-3.09,163.47,302.66,54.01,134.51,21.53,118.61,37.82,0.0,7.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,-46.0,6.36,-723.27,-5.99,0.0,0.0
9,Food,STAPLE,Coarseflours,Atta & flours,Staple,STR01,1023.77,2939.92,34.82,-1916.15,0.12,0.11,337.15,203.65,1889.88,-45.83,29.21,21.0,23.55,20.46,-2.55,27.56,29.5,-0.07,71.87,0.53,214.96,858.88,25.03,79.39,170.76,386.72,-44.41,0.0,13.23,0.0,0.0,46.78,0.0,0.0,0.0,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.72,0.0,0.0,0.0,0.0
